MAINTENANCE_AGENCY_ID,CUBE_MAPPING_ID,NAME,CODE,SOURCE_CUBE_ID,DESTINATION_CUBE_ID,DESCRIPTION
ECB,M_F_12.02_REF_FINREP 201,F_12.02-->F_12.02_REF__FINREP 201,M_F_12.02_REF_FINREP 201,EBA_FINREP_EBA_F_12.02_FINREP_2017-A,FINREP_REF_F_12.02_REF_FINREP 201,"Mapping cubes, source cube: F_12.02, target cube: F_12.02_REF, version: FINREP 201"
ECB,M_F_04.09_REF_FINREP 201,F_04.09-->F_04.09_REF__FINREP 201,M_F_04.09_REF_FINREP 201,EBA_FINREP_EBA_F_04.09_FINREP_2017-A,FINREP_REF_F_04.09_REF_FINREP 201,"Mapping cubes, source cube: F_04.09, target cube: F_04.09_REF, version: FINREP 201"
ECB,M_F_16.02_REF_FINREP 201,F_16.02-->F_16.02_REF__FINREP 201,M_F_16.02_REF_FINREP 201,EBA_FINREP_EBA_F_16.02_FINREP_2017-A,FINREP_REF_F_16.02_REF_FINREP 201,"Mapping cubes, source cube: F_16.02, target cube: F_16.02_REF, version: FINREP 201"
ECB,M_F_44.02_REF_FINREP 201,F_44.02-->F_44.02_REF__FINREP 201,M_F_44.02_REF_FINREP 201,EBA_FINREP_EBA_F_44.02_FINREP_2017-A,FINREP_REF_F_44.02_REF_FINREP 201,"Mapping cubes, source cube: F_44.02, target cube: F_44.02_REF, version: FINREP 201"
ECB,M_F_40.02_REF_FINREP 201,F_40.02-->F_40.02_REF__FINREP 201,M_F_40.02_REF_FINREP 201,EBA_FINREP_EBA_F_40.02_FINREP_2017-A,FINREP_REF_F_40.02_REF_FINREP 201,"Mapping cubes, source cube: F_40.02, target cube: F_40.02_REF, version: FINREP 201"
ECB,M_F_09.01_REF_FINREP 201,F_09.01-->F_09.01_REF__FINREP 201,M_F_09.01_REF_FINREP 201,EBA_FINREP_EBA_F_09.01_FINREP_2017-A,FINREP_REF_F_09.01_REF_FINREP 201,"Mapping cubes, source cube: F_09.01, target cube: F_09.01_REF, version: FINREP 201"
ECB,M_F_01.02_REF_FINREP 201,F_01.02-->F_01.02_REF__FINREP 201,M_F_01.02_REF_FINREP 201,EBA_FINREP_EBA_F_01.02_FINREP_2017-A,FINREP_REF_F_01.02_REF_FINREP 201,"Mapping cubes, source cube: F_01.02, target cube: F_01.02_REF, version: FINREP 201"
ECB,M_F_44.01_REF_FINREP 201,F_44.01-->F_44.01_REF__FINREP 201,M_F_44.01_REF_FINREP 201,EBA_FINREP_EBA_F_44.01_FINREP_2017-A,FINREP_REF_F_44.01_REF_FINREP 201,"Mapping cubes, source cube: F_44.01, target cube: F_44.01_REF, version: FINREP 201"
ECB,M_F_16.04_REF_FINREP 201,F_16.04-->F_16.04_REF__FINREP 201,M_F_16.04_REF_FINREP 201,EBA_FINREP_EBA_F_16.04_FINREP_2017-A,FINREP_REF_F_16.04_REF_FINREP 201,"Mapping cubes, source cube: F_16.04, target cube: F_16.04_REF, version: FINREP 201"
ECB,M_F_09.02_REF_FINREP 201,F_09.02-->F_09.02_REF__FINREP 201,M_F_09.02_REF_FINREP 201,EBA_FINREP_EBA_F_09.02_FINREP_2017-A,FINREP_REF_F_09.02_REF_FINREP 201,"Mapping cubes, source cube: F_09.02, target cube: F_09.02_REF, version: FINREP 201"
