VARIABLE_MAPPING_ID,VARIABLE_ID,IS_SOURCE,VALID_FROM,VALID_TO
SHS_ACCR_INCOME_FACTOR,ACCRD_INCM_FCTR,false,1999-01-01,9999-12-31
SHS_MONTH_AV_PRICE_2,MNTHLY_AVRG_PRC_2,false,1999-01-01,9999-12-31
SHS_SECURITY_STATUS_DATE,DT_SCRTY_STTS,false,1999-01-01,9999-12-31
SHS_MONTH_AV_PRICE_1,MNTHLY_AVRG_PRC_1,false,1999-01-01,9999-12-31
SHS_ENTITY_ID,RPRTNG_AGNT_LGL_ENTTY_ID,false,1999-01-01,9999-12-31
SHS_RESID_MAT_BRACKET,RSDL_MTRTY_INTRVL,false,1999-01-01,9999-12-31
SHS_QUOTATION_BASIS,ECB2_QUOTATION_BASIS,true,1999-01-01,9999-12-31
SHS_DT_DFLT_STTS_ISSR,DT_DFLT_STTS_ISSR,false,1999-01-01,9999-12-31
SHS_IDENTIFIER_TYPE,ECB2_IDENTIFIER_TYPE,true,1999-01-01,9999-12-31
SHS_INTERN_ORG_CODE,ECB2_INTERN_ORG_CODE,true,1999-01-01,9999-12-31
SHS_ACCMLTD_IMPRMNT,ECB2_ACCMLTD_IMPRMNT,true,1999-01-01,9999-12-31
SHS_REPORTING_BASIS,ECB2_REPORTING_BASIS,true,1999-01-01,9999-12-31
SHS_UNIT_MEASURE_NV,ECB2_UNIT_MEASURE_NV,true,1999-01-01,9999-12-31
SHS_LAST_SPLIT_DATE,ECB2_LAST_SPLIT_DATE,true,1999-01-01,9999-12-31
SHS_EARLY_RED,ERLY_RDMPTN_INCLSN_INDCTR,false,1999-01-01,9999-12-31
SHS_COLLATERAL_AREA,ECB2_COLLATERAL_AREA,true,1999-01-01,9999-12-31
SHS_DT_PRFRMNG_STTS,ECB2_DT_PRFRMNG_STTS,true,1999-01-01,9999-12-31
SHS_DIVIDEND_AMOUNT,ECB2_DIVIDEND_AMOUNT,true,1999-01-01,9999-12-31
SHS_SECURITY_STATUS,ECB2_SECURITY_STATUS,true,1999-01-01,9999-12-31
SHS_ORIG_MAT_BRACKET,ORGNL_MTRTY_INTRVL,false,1999-01-01,9999-12-31
SHS_ISSUER_MFI_CODE,ECB2_ISSUER_MFI_CODE,true,1999-01-01,9999-12-31
SHS_DIVIDEND_SETTL_DATE,DT_DVDND_STTLMNT,false,1999-01-01,9999-12-31
SHS_ISSUER_NACE_SECTOR,ECNMC_ACTVTY_ISSR,false,1999-01-01,9999-12-31
SHS_ORIG_MAT_BRACKET,ECB2_ORIG_MAT_BRACKET,true,1999-01-01,9999-12-31
SHS_GROUP_ACC_STANDARD,ACCNTNG_FRMWRK_CNS,false,1999-01-01,9999-12-31
SHS_MONTH_AV_PRICE_1,ECB2_MONTH_AV_PRICE_1,true,1999-01-01,9999-12-31
SHS_DFLT_STTS_INSTRMNT,DFLT_STTS_INSTRMNT,false,1999-01-01,9999-12-31
SHS_ENTITY_ACC_STANDARD,ACCNTNG_FRMWRK_SL,false,1999-01-01,9999-12-31
SHS_AMOUNT_OUT_EUR,OTSTNDNG_NMNL_AMNT_EUR,false,1999-01-01,9999-12-31
SHS_LAST_COUPON_RATE,ECB2_LAST_COUPON_RATE,true,1999-01-01,9999-12-31
SHS_LAST_COUPON_DATE,ECB2_LAST_COUPON_DATE,true,1999-01-01,9999-12-31
SHS_REDEMPTION_PRICE,ECB2_REDEMPTION_PRICE,true,1999-01-01,9999-12-31
SHS_MONTH_AV_PRICE_2,ECB2_MONTH_AV_PRICE_2,true,1999-01-01,9999-12-31
SHS_LAST_COUPON_FREQ,ECB2_LAST_COUPON_FREQ,true,1999-01-01,9999-12-31
SHS_ACCNTNG_CLSSFCTN,ECB2_ACCNTNG_CLSSFCTN,true,1999-01-01,9999-12-31
SHS_PRICE_VALUE_TYPE,ECB2_PRICE_VALUE_TYPE,true,1999-01-01,9999-12-31
SHS_LAST_SPLIT_FACTOR,ECB2_LAST_SPLIT_FACTOR,true,1999-01-01,9999-12-31
SHS_APPRCH_PRDNTL_PRPSS,APPRCH_PRDNTL_PRPSS,false,1999-01-01,9999-12-31
SHS_GUARANTOR_ID_TYPE,ECB2_GUARANTOR_ID_TYPE,true,1999-01-01,9999-12-31
SHS_ACCMLTD_CHNGS_FV_CR,ACCMLTD_CHNGS_FV_CR,false,1999-01-01,9999-12-31
SHS_DT_DFLT_STTS_ISSR,ECB2_DT_DFLT_STTS_ISSR,true,1999-01-01,9999-12-31
SHS_PRICE_VALUE_BASIS,CRRNCY_UNT_MSR_PRC_VL,false,1999-01-01,9999-12-31
SHS_DIVIDEND_CURRENCY,ECB2_DIVIDEND_CURRENCY,true,1999-01-01,9999-12-31
SHS_RESID_MAT_BRACKET,ECB2_RESID_MAT_BRACKET,true,1999-01-01,9999-12-31
SHS_IMMEDIATE_PARENT_ID,IMMDT_PRNT_UNDRT_ID,false,1999-01-01,9999-12-31
SHS_PRIMARY_ASSET_CLASS,PRMRY_ASST_CLSSFCTN,false,1999-01-01,9999-12-31
SHS_PRICE_VALUE_BASIS,ECB2_PRICE_VALUE_BASIS,true,1999-01-01,9999-12-31
SHS_DIVIDEND_AMOUNT_TYPE,DVDND_INCM_AMNT_TYP,false,1999-01-01,9999-12-31
SHS_ACCR_INTR_MV,ACCRD_INTRST_MRKT_VL_INDCTR,false,1999-01-01,9999-12-31
SHS_CMLTV_RCVRS_SNC_DFLT,CMLTV_RCVRS_SNC_DFLT,false,1999-01-01,9999-12-31
SHS_ISSUER_NACE_SECTOR,ECB2_ISSUER_NACE_SECTOR,true,1999-01-01,9999-12-31
SHS_ENTITY_STATUS_DATE,ECB2_ENTITY_STATUS_DATE,true,1999-01-01,9999-12-31
SHS_DFLT_STTS_INSTRMNT,ECB2_DFLT_STTS_INSTRMNT,true,1999-01-01,9999-12-31
SHS_ACCR_INCOME_FACTOR,ECB2_ACCR_INCOME_FACTOR,true,1999-01-01,9999-12-31
SHS_DIVIDEND_AMOUNT_TYPE,DVDND_INCM_DRVTN_TYP,false,1999-01-01,9999-12-31
SHS_GROUP_ACC_STANDARD,ECB2_GROUP_ACC_STANDARD,true,1999-01-01,9999-12-31
SHS_IMMEDIATE_PARENT_ID_TYPE,IMMDT_PRNT_ID_TYP,false,1999-01-01,9999-12-31
SHS_ASSET_SECURITISATION_TYPE,TYP_ASST_SCRTSTN,false,1999-01-01,9999-12-31
SHS_IMMEDIATE_PARENT_ID,ECB2_IMMEDIATE_PARENT_ID,true,1999-01-01,9999-12-31
SHS_APPRCH_PRDNTL_PRPSS,ECB2_APPRCH_PRDNTL_PRPSS,true,1999-01-01,9999-12-31
SHS_PRIMARY_ASSET_CLASS,ECB2_PRIMARY_ASSET_CLASS,true,1999-01-01,9999-12-31
SHS_DT_DFLT_STTS_INSTRMNT,DT_DFLT_STTS_INSTRMNT,false,1999-01-01,9999-12-31
SHS_DIVIDEND_SETTL_DATE,ECB2_DIVIDEND_SETTL_DATE,true,1999-01-01,9999-12-31
SHS_ACCMLTD_CHNGS_FV_CR,ECB2_ACCMLTD_CHNGS_FV_CR,true,1999-01-01,9999-12-31
SHS_FUNCTIONAL_CATEGORY,ECB2_FUNCTIONAL_CATEGORY,true,1999-01-01,9999-12-31
SHS_ENTITY_ACC_STANDARD,ECB2_ENTITY_ACC_STANDARD,true,1999-01-01,9999-12-31
SHS_IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_ASSSSMNT_MTHD,false,1999-01-01,9999-12-31
SHS_SECURITY_STATUS_DATE,ECB2_SECURITY_STATUS_DATE,true,1999-01-01,9999-12-31
SHS_CMLTV_RCVRS_SNC_DFLT,ECB2_CMLTV_RCVRS_SNC_DFLT,true,1999-01-01,9999-12-31
SHS_DIVIDEND_AMOUNT_TYPE,ECB2_DIVIDEND_AMOUNT_TYPE,true,1999-01-01,9999-12-31
SHS_DT_DFLT_STTS_INSTRMNT,ECB2_DT_DFLT_STTS_INSTRMNT,true,1999-01-01,9999-12-31
SHS_INTRA_GROUP_ACC_SCOPE,ECB2_INTRA_GROUP_ACC_SCOPE,true,1999-01-01,9999-12-31
