ID,CUBE_ID,COMBINATION_ID
23371,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430959_REF
23372,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_153755_REF
23373,F_19_00_b_REF_FINREP_3_0,F_19_00_b_REF_FINREP_3_0_153591_REF
23374,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154481_REF
23375,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_149768_REF
23376,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430641_REF
23377,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430925_REF
23378,F_04_04_1_REF_FINREP_3_0,F_04_04_1_REF_FINREP_3_0_441786_REF
23379,F_09_01_1_REF_FINREP_3_0,F_09_01_1_REF_FINREP_3_0_155887_REF
23380,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_430027_REF
23381,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_151151_REF
23382,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_430230_REF
23383,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_153889_REF
23384,F_18_00_b_REF_FINREP_3_0,F_18_00_b_REF_FINREP_3_0_153547_REF
23385,F_18_00_c_REF_FINREP_3_0,F_18_00_c_REF_FINREP_3_0_429988_REF
23386,F_15_00_a_REF_FINREP_3_0,F_15_00_a_REF_FINREP_3_0_148765_REF
23387,F_18_00_a_REF_FINREP_3_0,F_18_00_a_REF_FINREP_3_0_154460_REF
