MAINTENANCE_AGENCY_ID,CUBE_STRUCTURE_ID,NAME,CODE,DESCRIPTION,VALID_FROM,VALID_TO,VERSION
,SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT,SHRT_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT,,,,,
,SNTHTC_SCRTSTN,SNTHTC_SCRTSTN,,,,,
,SUBDOMAIN,SUBDOMAIN,,,,,
,SUBDOMAIN_ENUMERATION,SUBDOMAIN_ENUMERATION,,,,,
,SYNDCTD_CNTRCT,SYNDCTD_CNTRCT,,,,,
,Session,Session,,,,,
,TABLE,TABLE,,,,,
,TABLE_CELL,TABLE_CELL,,,,,
,TRDTNL_SCRTSTN,TRDTNL_SCRTSTN,,,,,
,TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_DPST,TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_DPST,,,,,
,TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_FNNCL_GRNT,TRNCH_SYNTHTC_SCRTSTN_WTHT_SSPE_FNNCL_GRNT,,,,,
,TRNCH_TRDTNL_SCRTSTN,TRNCH_TRDTNL_SCRTSTN,,,,,
,TRNSFRRD_ASST_LG_INSTRMNT_ASSGNMNT,TRNSFRRD_ASST_LG_INSTRMNT_ASSGNMNT,,,,,
,TableCreationFunction,TableCreationFunction,,,,,
,TableCreationFunctionColumn,TableCreationFunctionColumn,,,,,
,TableCreationSourceTable,TableCreationSourceTable,,,,,
,Trail,Trail,,,,,
,User,User,,,,,
,VARIABLE,VARIABLE,,,,,
,VARIABLE_MAPPING,VARIABLE_MAPPING,,,,,
,VARIABLE_MAPPING_ITEM,VARIABLE_MAPPING_ITEM,,,,,
,VARIABLE_SET,VARIABLE_SET,,,,,
,VARIABLE_SET_ENUMERATION,VARIABLE_SET_ENUMERATION,,,,,
,WorkflowSession,WorkflowSession,,,,,
,WorkflowTaskDependency,WorkflowTaskDependency,,,,,
,WorkflowTaskExecution,WorkflowTaskExecution,,,,,
